date,temperature_high,temperature_low,weather,wind,air_quality,
2022-03-15 周二,25°,10°,多云~小雨,东南风2级,92 良,
2022-03-16 周三,26°,10°,多云,东风1级,73 良,
2022-03-17 周四,26°,8°,多云,西南风2级,58 良,
2022-03-18 周五,25°,12°,多云~小雨,西风2级,60 良,
2022-03-19 周六,27°,11°,多云~小雨,东南风2级,61 良,
2022-03-20 周日,15°,8°,多云~小雨,东风2级,56 良,
2022-03-21 周一,13°,7°,小雨,东风2级,49 优,
2022-03-22 周二,17°,6°,多云~阴,东北风1级,30 优,
2022-03-23 周三,24°,8°,多云~小雨,东南风1级,41 优,
2022-03-24 周四,16°,7°,多云~小雨,东南风2级,37 优,
2022-03-25 周五,14°,6°,多云~小雨,东北风2级,84 良,
2022-03-26 周六,12°,5°,多云~小雨,东风1级,64 良,
2022-03-27 周日,19°,5°,多云,西风2级,60 良,
2022-03-28 周一,19°,8°,多云~阴,南风2级,59 良,
2022-03-29 周二,15°,9°,多云~小雨,东南风2级,57 良,
2022-03-30 周三,12°,6°,小雨,东风2级,66 良,
2022-03-31 周四,10°,5°,多云~小雨,东风2级,48 优,
2022-02-01 周二,6°,0°,多云~小雨,东南风1级,74 良,
2022-02-02 周三,6°,-2°,多云,东南风1级,53 良,
2022-02-03 周四,8°,-1°,晴~阴,西风2级,47 优,
2022-02-04 周五,5°,0°,多云~小雨,东南风1级,48 优,
2022-02-05 周六,4°,0°,多云~小雨,东南风2级,36 优,
2022-02-06 周日,4°,-2°,多云,南风1级,46 优,
2022-02-07 周一,2°,-1°,多云,东南风2级,51 良,
2022-02-08 周二,6°,-2°,多云~阴,东南风2级,60 良,
2022-02-09 周三,8°,0°,多云,南风1级,57 良,
2022-02-10 周四,2°,1°,多云~小雨,东南风2级,52 良,
2022-02-11 周五,10°,1°,多云~雨夹雪,东南风1级,51 良,
2022-02-12 周六,10°,-2°,多云,西北风2级,56 良,
2022-02-13 周日,11°,0°,晴,西风2级,53 良,
2022-02-14 周一,12°,0°,多云~晴,西风2级,56 良,
2022-02-15 周二,13°,3°,多云~小雨,南风2级,56 良,
2022-02-16 周三,7°,3°,多云~小雨,东南风2级,54 良,
2022-02-17 周四,6°,1°,小雨,东南风2级,31 优,
2022-02-18 周五,4°,-3°,多云~小雨,东风2级,35 优,
2022-02-19 周六,5°,-2°,多云~小雨,东风2级,36 优,
2022-02-20 周日,5°,-2°,多云~小雨,东南风2级,42 优,
2022-02-21 周一,6°,-1°,小雪~小雨,东风2级,41 优,
2022-02-22 周二,7°,-2°,阴~小雨,东南风1级,35 优,
2022-02-23 周三,9°,-1°,多云~晴,西南风1级,31 优,
2022-02-24 周四,12°,0°,多云,东南风2级,36 优,
2022-02-25 周五,8°,0°,多云,东南风1级,44 优,
